# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	25055
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
a 	啊	c=107 d=7.79577 t=25055
a 	阿	c=10 d=2.10552 t=25055
a a a 	啊啊啊	c=1 d=0.860708 t=25055
a a a a 	啊啊啊啊	c=0 d=2.72338e-23 t=25055
a a a a a a 	啊啊啊啊啊啊	c=2 d=5.6784e-22 t=25055
a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊	c=1 d=2.73703e-22 t=25055
a gen ting 	阿根廷	c=1 d=0.392586 t=25055
a ji 	阿吉	c=0 d=0.083527 t=25055
a yi 	阿姨	c=2 d=5.24258e-15 t=25055
ai 	哎	c=15 d=1.31422 t=25055
ai 	唉	c=6 d=1.03913 t=25055
ai 	爱	c=1 d=8.70246e-13 t=25055
ai 	艾	c=5 d=1.87003 t=25055
ai da bu li 	爱搭不理	c=1 d=0.683861 t=25055
ai guo 	爱国	c=0 d=3.13476e-31 t=25055
ai ya 	哎呀	c=1 d=0.353455 t=25055
an 	安	c=2 d=5.38962e-08 t=25055
an 	按	c=6 d=2.78359 t=25055
an jian 	案件	c=2 d=2.25623e-34 t=25055
an ju 	安居	c=1 d=0.108067 t=25055
an li 	案例	c=1 d=0.644036 t=25055
an li hui 	安理会	c=2 d=1.99005 t=25055
an niu 	按钮	c=5 d=3.00638 t=25055
an quan 	安全	c=4 d=0.600586 t=25055
an wei 	安慰	c=0 d=0.0637628 t=25055
an wei ni 	安慰你	c=1 d=0.640824 t=25055
an ye 	俺也	c=0 d=1.53825e-38 t=25055
an ye shi 	俺也是	c=1 d=1.54597e-37 t=25055
an ying 	暗影	c=1 d=2.03116e-13 t=25055
an zhao 	按照	c=15 d=0.748264 t=25055
an zhao guan fang 	按照官方	c=1 d=2.55503e-36 t=25055
an zhu 	按住	c=1 d=0.71177 t=25055
an zhua 	按抓	c=1 d=0.97531 t=25055
an zhuang 	安装	c=13 d=0.0311186 t=25055
an zhuang fei 	安装费	c=1 d=0.00673795 t=25055
an zhuang qi 	按装起	c=1 d=1.13253e-23 t=25055
an zhuang wan 	安装完	c=1 d=1.40419e-23 t=25055
an zhuo 	安卓	c=6 d=2.24457 t=25055
an zi fu 	按字符	c=1 d=8.3712e-27 t=25055
ang 	昂	c=1 d=1.60103e-37 t=25055
ao 	凹	c=5 d=2.46448 t=25055
ao 	敖	c=3 d=0.960789 t=25055
ao ben hai mo 	奥本海默	c=1 d=7.79729e-15 t=25055
ao de xiu si 	奥德修斯	c=2 d=2.10164e-23 t=25055
ao guo 	熬过	c=0 d=0.000891518 t=25055
ba 	吧	c=24 d=3.25692 t=25055
ba 	把	c=50 d=3.55537 t=25055
ba 	罢	c=14 d=0.696245 t=25055
ba ba la 	芭芭拉	c=1 d=0.299692 t=25055
ba cheng 	八成	c=2 d=1.65394 t=25055
ba dian 	八点	c=1 d=5.86567e-19 t=25055
ba le 	罢了	c=5 d=1.59123e-07 t=25055
ba mian ling long 	八面玲珑	c=1 d=0.618783 t=25055
ba na 	把那	c=1 d=2.70611e-06 t=25055
ba na ge 	把那个	c=0 d=0.0128735 t=25055
ba na ge ti 	把那个题	c=1 d=0.12938 t=25055
ba ni 	把你	c=1 d=6.95616e-25 t=25055
ba shi 	巴士	c=1 d=3.7087e-08 t=25055
ba ta 	把它	c=2 d=2.08634e-18 t=25055
ba ta men 	把他们	c=1 d=5.04863e-19 t=25055
ba wo 	把我	c=1 d=4.20608e-18 t=25055
ba yi 	巴以	c=1 d=0.18452 t=25055
ba zhe 	把这	c=0 d=1.68604e-29 t=25055
ba zhe xie 	把这写	c=1 d=1.69449e-28 t=25055
bai 	摆	c=3 d=1.42989 t=25055
bai bai 	拜拜	c=2 d=1.09037 t=25055
bai du 	百度	c=1 d=0.97531 t=25055
bai fang 	拜访	c=1 d=0.814647 t=25055
bai fang 	摆放	c=2 d=1.68376 t=25055
bai fen zhi 	百分之	c=1 d=0.000426457 t=25055
bai fen zhi shi 	百分之十	c=1 d=0.856415 t=25055
bai lan 	摆烂	c=1 d=0.0288686 t=25055
bai ren 	白人	c=1 d=0.0359725 t=25055
bai tian 	白天	c=1 d=7.59677e-32 t=25055
ban 	半	c=1 d=0.346456 t=25055
ban 	班	c=1 d=0.499074 t=25055
ban ben 	版本	c=23 d=2.08808 t=25055
ban ben hao 	版本号	c=1 d=2.03954e-32 t=25055
ban fa 	办法	c=11 d=1.56538 t=25055
ban ji 	班级	c=1 d=0.657047 t=25055
