# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	258
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
ba 	吧	c=1 d=0.759572 t=258
ban 	半	c=0 d=0.0451581 t=258
ban long duan 	半壟斷	c=1 d=0.453845 t=258
ban sheng 	半生	c=1 d=0.283654 t=258
bao lun 	暴論	c=1 d=0.506617 t=258
bi jing 	畢竟	c=1 d=0.414783 t=258
bian 	變	c=1 d=0.339704 t=258
bu 	不	c=0 d=0.029671 t=258
bu cuo 	不錯	c=1 d=0.360595 t=258
bu ji de 	不記得	c=1 d=0.65377 t=258
bu jiu 	不久	c=1 d=0.806541 t=258
bu jiu hao 	不就好	c=1 d=0.298197 t=258
bu ke 	不可	c=0 d=0.0339596 t=258
bu ke bian 	不可變	c=1 d=0.341298 t=258
bu xiang 	不想	c=1 d=0.511709 t=258
bu zhi dao 	不知道	c=1 d=0.67368 t=258
can shu 	參數	c=1 d=0.650509 t=258
cao 	草	c=1 d=0.621885 t=258
chi chu 	彳亍	c=1 d=0.856415 t=258
chu zou 	出走	c=1 d=0.282239 t=258
ci ku 	詞庫	c=2 d=1.19599 t=258
cong 	從	c=2 d=0.827705 t=258
dai ti 	代替	c=1 d=0.50409 t=258
dao li 	道理	c=1 d=0.873716 t=258
de 	得	c=0 d=0.0726149 t=258
de 	的	c=9 d=5.02789 t=258
die 	疊	c=14 d=6.58003 t=258
dou 	都	c=1 d=0.351692 t=258
dou hao 	都好	c=1 d=0.293758 t=258
dou mei you 	都沒有	c=0 d=0.0878095 t=258
dou shi 	都是	c=1 d=0.357007 t=258
dou you 	都有	c=1 d=0.489192 t=258
dou zhuan 	都轉	c=1 d=0.398519 t=258
er jin zhi 	二進制	c=1 d=0.774916 t=258
er qie 	而且	c=1 d=0.400517 t=258
fa xing ban 	發行版	c=2 d=0.709054 t=258
fang xin 	放心	c=1 d=0.353455 t=258
fu za 	複雜	c=0 d=0.0726149 t=258
fu za de 	複雜得	c=1 d=0.729789 t=258
gen 	跟	c=1 d=0.318224 t=258
gen bu shang 	跟不上	c=2 d=0.801311 t=258
geng xin 	更新	c=2 d=0.865835 t=258
gou jian 	構建	c=1 d=0.40657 t=258
guan fang 	官方	c=1 d=0.718924 t=258
guan jian shi 	關鍵是	c=2 d=1.46387 t=258
guang gao 	廣告	c=1 d=0.491644 t=258
gui lai 	歸來	c=1 d=0.285076 t=258
hai 	還	c=1 d=0.302704 t=258
hai zai 	還在	c=1 d=0.315058 t=258
hai zhen shi 	還真是	c=1 d=0.278037 t=258
hei ti 	黑體	c=1 d=0.932394 t=258
hen 	很	c=1 d=0.358796 t=258
hen duo 	很多	c=1 d=0.313486 t=258
hua 	化	c=2 d=0.753493 t=258
huan jing 	環境	c=1 d=0.722527 t=258
hui you 	會有	c=1 d=0.410656 t=258
ji ben shang 	基本上	c=0 d=0.0366045 t=258
ji le 	寄了	c=1 d=0.814647 t=258
ji yu 	基於	c=1 d=0.346456 t=258
jia 	加	c=0 d=0.0551563 t=258
